Name,Ingredients,Direction
Authentic Italian Meatballs,"['1   lb    ground beef', '2       eggs', '1/4  cup    milk', '1/2  cup    breadcrumbs', '1/2  teaspoon    salt', '1   tablespoon    fresh parsley', '1   teaspoon    garlic powder', '1/2  teaspoon    fresh ground pepper', '1/2  cup   grated locatelli cheese']","['Mix all ingredients in a large bowl by hand.', 'Use your bare hands for best results.', 'Roll meatballs to about the size of a golf ball. (wet your hands to prevent the meat from sticking to them while rolling the meat balls).', 'Drop raw meatballs into large (I use a stock pot) pot of sauce.', '(I have an incredible sauce recipe {#92096} I use for my meatballs).', 'Simmer for about 3 hours.']"
"Orzo, Grape and Pistachio Salad","['1   lb    orzo pasta', '2   cups    red grapes', '2   cups    pistachios, shelled and toasted ', '1   cup    basil, chopped ', '1/3  cup    lemon juice', '1/2  cup    walnut oil', '3       garlic cloves, chopped ']","['Toast pistachios: Take 1 cup of pistachios and put in a saucepan with the walnut oil.', 'Warm the oil and nuts together, be careful not to boil.', 'Saute garlic in a little olive oil.', 'Prepare orzo from package instructions.', 'When orzo has been drained, mix in enough of the pistachio/walnut oil mixture to coat the pasta.', 'Add lemon juice to taste.', 'Mix in sauteed garlic.', 'Add grapes, and half the basil.', 'Chill for several hours, or overnight.', 'Before serving, add rest of basil, salt and pepper to taste, and the rest of the pistachios.']"
Grilled Chicken Tikka,"['3   large    boneless skinless chicken breasts', '2   tablespoons    fresh lemon juice', '1   cup    plain yogurt', '1   tablespoon   pressed garlic', '1   tablespoon   freshly grated ginger', '1/2  teaspoon    ground cumin', '1/2  teaspoon    ground turmeric', '2 1/2  tablespoons    cayenne pepper', '1/3  teaspoon    salt', '1/3  teaspoon    fresh ground black pepper', ' melted butter or   olive oil, for brushing ', '  lime, for serving ']","['Clean your chicken, and cut it into cubes for threading on skewers.', 'Take a fork and prick the chicken many times.', 'Put lemon juice in bowl with chicken, stir well, and set it aside.', 'In a large bowl, mix yogurt, garlic, ginger, cumin, turmeric, cayenne, salt and pepper.', 'Place the chicken in the bowl with the marinade, and marinate for at least 2 hours, preferably 4-6 hours.', 'Thread chicken onto skewers.', 'Heat your grill with a nice flame and place chicken skewers on the grill.', 'Brush with butter or olive oil, and grill approximately 6 minutes on each side, or until done, having nice grill/char markiings.', 'Once you have grilled one side for 6 minutes, turn them over and brush with butter or olive oil, and grill 6 more minutes or until done.', 'Serve with lime wedges on the side for squirting on chicken pieces; YUM!']"
Best Ever BBQ Chicken,"['3       garlic cloves, minced ', '2   teaspoons    butter', '1   cup    Heinz ketchup (a must for us)', '1/4  cup   packed brown sugar', '1/4  cup    chili sauce (Heinz is a good one)', '2   tablespoons    Worcestershire sauce', '1/2-3/4  tablespoon    celery seed', '1   tablespoon    prepared yellow mustard', '1/2  teaspoon    salt', '2   dashes    hot pepper sauce', '8   large    chicken breast halves, bone-in with skin  (a large family pack will usually have about 7-8 breasts.)']","['In a saucepan, saute the garlic in butter until tender.', 'Add the next 8 ingredients.', 'Bring to a boil, stirring constantly.', 'Remove from the heat and set aside.', 'Grill the chicken, covered over medium heat for 30 minutes, turning occasionally.', 'Baste with sauce.', 'Grill 15 minutes longer or until juices run clear.', 'Continue basting and turning during the last 15 minutes of cooking.', 'Serve with any extra sauce you set aside for dipping.', '(The sauce is just that delicious!).']"
Patacones (fried Plantain),"['4       green plantains (do not use yellow, or yellowish green. It vastly changes the taste)', '  vegetable oil', '  salt']","['Peel Plantain, and cut it width wise into 3 or 4 pieces.', 'I have found that the easiest way to peel the plantain is to cut roughly 1/4&quot; off of each end of the plantain (the very tips), and then carefully, without cutting into the plantain itself, slicing the skin down one side.', 'Once you have slit the skin on one side, you can gently pry the peel off with your fingers.', 'Heat 1&quot; of vegetable oil on medium heat until hot.', 'Fry plantain pieces on both sides for about 3 minutes, or until the pieces are golden.', 'When they are golden, remove from pan and place onto a plate covered with a paper towel.', 'Flatten the fried plantain.', 'I do this by placing the pieces one at a time between 2 pieces of waxed paper, and flattening with my hands.', 'Be careful not to put too much pressure, or the plantain will stick to the waxed paper.', 'Just gently flatten them till they are about 1/4&quot; thick.', 'Place in the hot oil again and fry until both sides are golden brown.', 'Drain on paper towel covered plate (be sure to change paper towels in between the 2 fryings) and sprinkle with salt.', 'Serve immediately.', 'For an extra special treat, eat the patacones with a thin slice of queso blanco (salty white cheese) on top.']"
French Fry Sauce (Utah-style) or Sauce for French Fries,"['1   cup    Miracle Whip', '1/2  cup    ketchup']","['Mix all ingredients well.', 'Refrigerate until use.', 'Use as a dipping sauce for French fries.']"
Curried Chickpeas and Black Beans-Low Fat,"['1 -2   teaspoon    olive oil', '1   cup   chopped onion (scallion work well too)', '1   tablespoon   minced ginger', '2 -3   teaspoons    curry powder (for this recipe, I like a milder curry powder that has a bit of fennel seed)', '1 (14 1/2  ounce) can   diced tomatoes, undrained ', '  salt', '1 (15   ounce) can   black beans, rinsed and drained ', '1 (15   ounce) can   chickpeas, rinsed and drained ', '1/3  cup   chopped fresh cilantro or 1/3  cup    parsley', '1   tablespoon    fresh lemon juice']","['Heat oil in a large, non-stick skillet over medium heat.', 'Add onion and ginger and saute about 3 minutes, or until tender.', 'Add curry powder and stir to coat onions evenly.', 'Add tomatoes with their juices and cook 1-2 minutes or until mixture seems slightly thickened, stirring well.', 'Add black beans, chickpeas and salt to taste.', 'Stir to coat beans evenly.', 'Cover, reduce heat and simmer for about 5 minutes or until chickpeas are heated through.', 'Turn off heat, and stir in fresh cilantro (or parsley), and lemon juice.', 'Serve warm.', 'This dish goes nicely over some jasmine or basmati rice.']"
Frito Corn Salad,"['2   cans   yellow kernel corn, drained ', '1/2      red bell pepper, sliced and chopped ', '1/2      green bell pepper, sliced and chopped ', '1/2      purple onion, chopped ', '1   cup    mayonnaise', '1   cup   shredded cheddar cheese', '5   ounces   of chili cheese flavor Frito corn chips']","['Mix all the ingredients except the chips.', 'Add the chips in before serving otherwise the chips will get soggy.', 'Red peppers are expensive so you can just use green instead.']"
Nan's Classic Mustard Potato Salad,"['8   cups    russet potatoes, cooked, peeled, then diced  (about 10 -12 medium potatoes)', '6       eggs, hard boiled and finely crumbled ', '2   cups    sweet onions, very finely diced ', '1   cup    celery, peeled and very finely diced ', '3/4  cup    dill pickle, very finely diced ', '1 1/2  cups    mayonnaise (I prefer Miracle Whip, but mayo works well, too)', '2   tablespoons    mustard, the regular yellow type ', '1/4  cup    pickle juice', '1/4  cup    cream (I use half and half)', '1 1/2  teaspoons    kosher salt', '1/2  teaspoon    white pepper', '2   tablespoons    sugar']","['Boil potatoes in the peel with the whole eggs.', 'Remove the eggs after 10 minutes of boiling, and remove and drain the potatoes when just fork tender.', 'Let eggs and potatoes cool to room temperature.', 'Peel all and refrigerate whole potatoes and eggs until cold.', 'The potatoes will dice and hold up better when cold.', 'Dice the potatoes into 1/4- 3/8&quot; dice.', 'Place into a very large container with a lid.', ""(I have a 4 1/2 qrt glass bowl-shaped casserole with lid that's perfect.) Crumble the eggs (I do this by squishing them in my hand) and add to the container with the diced potatoes."", 'Very finely (like the size of dill relish pieces) chop the onion, celery and pickles.', 'Add to the potatoes and eggs.', 'Gently stir to mix the ingredients evenly.', 'In a separate bowl, mix the mayonnaise, mustard, dill pickle juice, cream, salt, pepper and sugar.', 'Whisk until creamy.', 'Pour over potato mixture.', 'Gently stir until the dry particles are coated with the creamy mixture.', 'Cover and refrigerate at least 4 hours.', '6- 8 hours is even better.', 'If you like color you can sprinkle some sweet paprika over the top.']"
Snickers Salad,"['1 (8   ounce) package   cream cheese, softened ', '1   cup    powdered sugar', '1 (12   ounce) container   Cool Whip, thawed ', '6       Snickers candy bars', '4 -6       granny smith apples (you can vary the apple with successful results if you choose to, but I would NOT recommend a soft va)']","['Mix cream cheese and powdered sugar until thoroughly blended.', 'Fold in Cool Whip.', 'Cut Snickers into bite size chunks and add to cream cheese mixture.', 'Chop the apples into chunks and stir.', 'Chill 1 hour before serving.', 'Chilling for a long period of time (such as overnight) will result in liquid being released from the salad.']"
"Smoked Sausage, Taters, Peppers and Onions Country Style","['1 (1   lb)    smoked sausage, sliced into 1/2 inch pieces  (I prefer Polska Kielbasa)', '4   medium    potatoes (peeled and cubed)', '1   small    onion (chopped)', '1       bell pepper (chopped)', '1/4  cup    water']","['Combine smoked sausage, potatoes, onion, bell pepper and water in a large pot.', 'Cover and simmer over medium heat 15 to  25 minutes, stirring occasionally, until potatoes are soft.']"
Old Fashioned Candied Yams,"['8   medium    sweet potatoes, baked,peeled and sliced in half lengthwise ', '2 1/2  cups    water', '1 1/3  cups   packed dark brown sugar', '4   tablespoons    butter', '1 1/2  teaspoons    cinnamon', '1 1/2  teaspoons    vanilla']","['Combine all ingredients except sweet potatoes in 2 quart saucepan.', 'Bring to a boil stirring occasionally.', 'Reduce heat and simmer about 45 minutes, stirring occasionally.', 'Place sliced sweet potatoes in an ungreased 9x13 dish in a single layer cut side up.', 'Pour syrup over potatoes coating all pieces.', 'Bake at 400 degrees until bubbly about 45 minutes basting every 15 minutes.']"
Aperol Floats,"['1   pint    vanilla ice cream', '2   ounces   bitter orange liqueur (Aperol)', '12   ounces   blood orange soda']","['Scoop ice cream into 2 glasses.', 'Pour 1 oz of Aperol into each glass over ice cream.', 'Finish by pouring 6 oz of soda into each glass until foam reaches the top.']"
Granny's Slow Cooker Vegetarian Chili,"['1 (11   ounce) can  condensed black bean soup (or canned black beans in juice)', '1 (15   ounce) can   kidney beans, drained and rinsed ', '1 (15   ounce) can   garbanzo beans, drained and rinsed  (sometimes I use lentils)', '1 (16   ounce) can   vegetarian baked beans', '1 (14 1/2  ounce) can  chopped tomato puree (I use large 29 oz. can crushed tomatoes)', '1 (15   ounce) can   whole kernel corn, drained ', '1       onion, chopped ', '1       green bell pepper, chopped ', '2       zucchini, chopped ', '2   stalks    celery, chopped ', '2       garlic cloves, chopped ', '1 (4   ounce) can  diced chilies', '1 -2       jalapeno, chopped  (depending on how much heat you want)', '1   tablespoon    chili powder', '2   teaspoons    cumin', '1   tablespoon    dried parsley', '1   tablespoon    dried oregano', '1   tablespoon    dried basil', '1   tablespoon    cilantro (optional)']","['In a saucepan, saute the onion, bell pepper, zucchini, and celery for about 5 minutes.', 'In a slow cooker, combine black bean soup, kidney beans, garbanzo beans, baked beans, tomatoes, corn, onion, bell pepper, zucchini, jalapeno, chilies, and celery.', 'Season with garlic, chili powder, cumin, parsley, oregano, basil (and cilantro if using).', 'Cook for about 6 hours on low.', 'Serve with tortillas, cornbread, rice, or French bread.', 'Enjoy!', 'This freezes well!', 'Leftovers are good on top of nachos!']"
Marinated Vegetable Salad,"['5   cups    broccoli florets', '2       cucumbers, peeled, sliced ', '1       onion, thinly sliced ', '1       green bell pepper, thinly sliced ', '1       red bell pepper, thinly sliced ', '3       carrots, peeled, thinly sliced ', '5   ounces   sliced black olives', '3/4  cup    parmesan cheese, grated ', '1   tablespoon   minced parsley', '1   teaspoon    dried oregano', '1   teaspoon    dried basil', '1 (8   ounce) bottle   Italian dressing', '12   ounces    cherry tomatoes, halved ', '  salt and pepper']","['Combine all ingredients, except tomatoes, in large bowl.', 'Cover and refrigerate overnight, stirring occasionally.', 'Add tomatoes, season with salt and pepper and toss.']"
Crock Pot Ravioli,"['1 (25   ounce) bag   beef ravioli', '1 (26   ounce) jar   pasta sauce', '1 (8   ounce) can   tomato sauce', '1   cup    water', '2 -3   teaspoons    red peppers', '  Italian spices', '1   cup   shredded mozzarella cheese']","['Pour about half of the pasta sauce in the bottom of crock pot.', 'Add frozen ravioli.', 'Pour additional pasta sauce, tomato sauce, water, and red pepper over ravioli (I usually pour the pasta sauce on first and then shake together the tomato sauce, water, and red pepper in the empty pasta sauce jar to mix them).', 'Sprinkle Italian seasonings over sauces.', 'Sprinkle cheese on top.', 'Turn crock pot on low and cook for 4-5 hours (until ravioli are tender).']"
Creamy Spaghetti Pie,"['8   ounces    thin spaghetti, broken in half, cooked and drained  (about 4 cups)', '1/3  cup    green onions with top, finely chopped ', '1/4  cup   chopped fresh parsley', '2       garlic cloves, minced ', '3   ounces    fresh parmesan cheese, grated, divided  (3/4 cup)', '1 (15   ounce) container   part-skim ricotta cheese (or use cottage cheese)', '1       egg, lightly beaten ', '3   tablespoons    butter (optional)', '3/4  teaspoon    salt', '1/2  teaspoon    italian seasoning', '1   cup   shredded mozzarella cheese, divided  (4 oz.)', '1 (26   ounce) jar   spaghetti sauce', '1 (14 1/2  ounce) can   diced tomatoes, drained ', '  parsley, chopped to garnish ']","['Save out 1/4 cup of the Parmesan cheese and 1/4 cup shredded mozzarella cheese. Set aside.', 'Mix together green onions, garlic,chopped parsley,  1/2 cup Parmesan cheese, ricotta cheese, egg, butter(if using), salt, Italian seasoning, and 3/4 cup mozzarella cheese.', 'Mix cheese/egg mixture with cooked spaghetti and place on the bottom of a shallow casserole dish.', 'In a bowl, mix spaghetti sauce with tomatoes. Pour over spaghetti mixture.', 'Sprinkle with remaining 1/4 cup Parmesan cheese and 1/4 cup mozzarella cheese that was set aside.', 'Bake about 30 minutes at 350 degrees. After pulling out of oven, garnish pie with chopped parsley. Serve and enjoy!', 'Pie will feel firm to the touch. Enjoy!']"
"Pesto ""Fried"" Chicken","['1 1/2  lbs    boneless skinless chicken breasts', '3   tablespoons   purchased pesto sauce (I use Classico)', '1/4  cup    corn flake crumbs']","['Preheat oven to 375&#xBA;.', 'Brush pesto over chicken breast fillets, coating both sides.', 'Coat with Corn Flake crumbs.', 'Bake on non-stick cookie sheet for 15-20 minutes or until cooked through.']"
New York Breakfast Casserole,"['6      everything bagels, cut into 1-inch cubes ', '8   ounces    neufchatel cheese, cut into irregular small bits ', '1/4  medium    red onion, thinly sliced ', '1   pint    grape tomatoes, cut in half ', '8   large    eggs', '2 1/3  cups    milk', '1   teaspoon    salt', '  fresh ground black pepper', '  capers, for serving  (optional)', '  lox, for serving  (optional)', ' crisply cooked bacon, for serving  (optional)']","['The night before serving the casserole, spread one half of the bagel cubes in the bottom of a greased 9-by-13-inch pan.', 'Dot with half of the Neufchatel cheese, and mix in the red onion and tomatoes.', 'Make one more layer with the bagel cubes and Neufchatel cheese.', 'Whisk eggs with milk, salt and pepper. Pour mixture over the bagels. Cover pan tightly with plastic wrap and refrigerate overnight.', 'The next morning, preheat oven to 350 degrees. Remove casserole from the fridge, uncover and bake until casserole has puffed, turned golden brown and cooked through. (A knife inserted into the center of the casserole and rotated slightly should not release any liquid.) This will take about an hour. You may cover the pan with foil for the last 15-20 minutes if the top bagels are getting too brown for your liking.', 'Let cool a few minutes, and serve in big scoops with a sprinkle of capers and a side of lox or bacon.']"
Pizza Hut Style Pizza Dough (Bread Machine),"['1 1/3  cups    water', '2   teaspoons    sugar', '1 1/4  teaspoons    salt', '2   tablespoons    olive oil', '2   tablespoons    cornmeal', '3   cups    unbleached all-purpose flour', '1   teaspoon    baking powder', '1/4  teaspoon    garlic powder', '1/4  teaspoon    onion powder', '1/2  teaspoon    msg (Accent*)', '1 1/2  teaspoons    bread machine yeast']","[""Add ingredients (except for cornmeal) to machine bread pan in order as per manufacturer's instructions."", 'Set to &quot;Dough&quot; cycle.', 'Lightly grease one 9 x 13-inch pan and sprinkle with cornmeal.', 'When the dough cycle is complete, roll out dough and place in pan.', 'Let rest in pans for 10-15 minutes.', 'Add toppings of your choice.', 'Bake at 350&deg;F until done (approximately 20 minutes, depending on the thickness of toppings).', 'I make the pizza in 9x13 rectangular pans rather than the round pizza pans, because the squares pieces are easier to reheat and pack in school lunches.']"
Summertime Ice Cream Sandwich Cake,"['12       ice cream sandwiches', '1 1/2  ounces    sugar-free chocolate pudding mix', '1   cup    whole milk', '8   ounces    frozen whipped topping', '15   ounces    chocolate sandwich style cookies', '8   ounces    frozen whipped topping']","['Grease a 9X13 pan. I used coconut oil.', 'Place ice cream sandwich bars in a single layer. Break them up to fill in all the space of the pan, as needed.', 'Prepare pudding mix with milk, using a hand held electric mixer. Add 1 small container of frozen whipped topping and continue to beat until smooth.  Spread pudding mix evenly over ice cream sandwich bars.', 'Crush the cookies, leaving some of the cookies as chunks. I use a gallon freezer bag and a rolling pin, but you could pulse them in a food processor. Sprinkle cookies over pudding layer, RESERVING A CUP OR TWO FOR THE FINAL STEP.', 'Spread the second container of frozen whipped topping over the cookie layer. Top with remaining cooking crumbs.', 'Freeze at least several hours before serving.']"
Breakfast Brownies,"['3/4  cup    Bisquick', '1/4  cup    cocoa', '1/4  cup    sugar', '3/4  cup    skim milk', '1/4  cup    applesauce', '1       egg', '1 3/4  cups    Raisin Bran cereal']","['Heat oven to 425 degrees. Grease a 9-inch square pan. Mix all ingredients except the cereal, then stir in the raisin bran.', 'Pour into the pan. Bake 10-15 minutes until set in center. Cut into squares.']"
Lentil Sloppy Joes,"['1   cup   uncooked lentils', '4   cups   boston lager beer or 4   cups   dark ale beer', '1   tablespoon    olive oil', '1   medium    yellow onion, diced small ', '1       green pepper, diced small ', '2       garlic cloves, minced ', '2   teaspoons    chili powder', '1   teaspoon    smoked paprika', '1   teaspoon    ground mustard', '1 (15   ounce) can  crushed fire-roasted tomatoes', '3   tablespoons    tomato paste', '1   tablespoon    apple cider vinegar', '1 1/2  tablespoons    maple syrup', '1/2  teaspoon    sea salt', '1/4  teaspoon    black pepper', '4       whole wheat hamburger buns']","['Put the lentils in a small sauce pot and pour in 4 cups beer. Cover and bring to a boil. Once boiling, lower heat and simmer for about 20 minutes, until lentils are soft. Drain and set aside.', 'About 10 minutes before the lentils are done boiling, preheat a medium sauce pan pot over medium heat. Saute the onion and pepper in the oil (~ 7 minutes), until softened.', 'Add the garlic and saute a minute more.', 'Add the cooked lentils, and the the rest of the spices (except the maple syrup &amp; dried mustard). Stir gently until just combined.', 'Add the tomato sauce and tomato paste. Cook for about 10 minutes.', 'Add the maple syrup and mustard and heat through.', 'Turn the heat off and let sit for about 10 minutes, so that the flavors can meld, or go ahead and eat immediately if you can&rsquo;t wait. I like to serve these open faced, with a scoop of sloppy joe on each slice of the bun.']"
Buffalo Chicken Pasta Salad,"['1/2  cup    red onion, chopped ', '1   cup    celery, chopped ', '1/2  cup    blue cheese, crumbles ', '2   cups    cooked chicken, chopped ', '1/2  cup    olive oil', '1/2  cup    hot sauce', '1   lb    rotini pasta']","['Cook pasta per package instructions, rinse with cold water.', 'While the pasta is cooking chop half of a red onion, 5 stalks of celery, and half of a precooked whole chicken into equal size small pieces.  Add all of these to a large mixing bowl along with the container of blue cheese crumbles.', 'In a separate bowl whisk together the hot sauce and olive oil, I use an immersion blender as these two items are not easy to combine. If you are using a whisk slowly add the olive oil while mixing.', ""Add the pasta and sauce to the large mixing bowl and mix well but don't destroy the pasta.  You are looking to get all the little bits of goodness to get into the ridges of the pasta."", 'For best results chill until cool.  Depending on the hot sauce and your tastes you can always add more hot sauce, or add some blue cheese dressing to adjust the flavor.']"
My Favorite King Ranch Chicken,"['6 -8       chicken breasts', '  salt & pepper', '1 (10 1/2  ounce) can   cream of mushroom soup', '1 (10 1/2  ounce) can   cream of chicken soup', '1   small    onion, diced ', '1 (10   ounce) can   diced tomatoes with green chilies, drained ', '1 (8   ounce) jar   Cheez Whiz', '1 (11   ounce) bag  cheesy plain Doritos or 1 (11   ounce) bag  other corn chips, crushed ', '8   ounces   grated cheddar cheese', '4   ounces   grated mozzarella cheese', '  paprika, to garnish ']","['Steam or boil the chicken breasts until cooked through (I use my steamer and find it makes the chicken perfectly moist and tender).', 'When cool, dice into bite-size pieces.', 'In a large saucepan over medium heat, mix the soups, onion, Ro-tel tomatoes and Cheez Whiz until blended.', 'Preheat oven to 350 degrees Farenheit.', 'Layer the bottom of a greased 9x12 casserole dish with crushed chips.', 'Next, layer half the chicken pieces.', 'Top with half the sauce.', 'Sprinkle with half the cheddar cheese.', 'Repeat the layers, but top with the Cheddar and Mozzarella.', 'Sprinkle paprika over the top to garnish.', 'Bake for 30-45 minutes, or until hot and bubbly.']"
Coconut Curried Tofu with Green Jasmine Rice,"['1/4  cup    unsweetened dried shredded coconut', '1 3/4  cups    water', '1   teaspoon    salt', '1   cup    jasmine rice or 1   cup    basmati rice', '1   cup   coarsely chopped fresh cilantro (packed)', '3/4  cup   unsweetened light coconut milk', '4   teaspoons   minced fresh ginger', '1   tablespoon    fresh lime juice', '2   cloves    garlic, minced ', '2   tablespoons    vegetable oil', '16   ounces    extra firm tofu, drained,patted dry,cut into 1/2 inch cubes ', '1/2  cup   thinly sliced green onion', '2   teaspoons    curry powder', '1   teaspoon    ground cumin', '1/8  teaspoon    dry crushed red pepper', '1   cup   whole small cherry tomatoes', '2   tablespoons   chopped peanuts']","['Stir shredded coconut in small nonstick skillet over medium heat until light golden, about 5 minutes.', 'Transfer to bowl.', 'Bring 1 3/4 cups water and salt to boil in heavy medium saucepan.', 'Stir in rice; bring to boil.', 'Reduce heat to low, cover, and simmer until water is absorbed and rice is tender, about 18 minutes.', 'Meanwhile, puree cilantro, 1/2 cup coconut milk, 1 teaspoon ginger, lime juice, and half of garlic in blender.', 'Mix puree and coconut into rice.', 'Set aside.', 'Heat oil in large nonstick skillet over high heat.', 'Add tofu; stir-fry until golden, about 6 minutes.', 'Add onions, curry, cumin, red pepper, remaining ginger, and remaining garlic.', 'Stir-fry 1 minute.', 'Stir in tomatoes and remaining coconut milk.', 'Season with salt and pepper.', 'Divide rice among 4 plates.', 'Top with tofu mixture.', 'Sprinkle with peanuts.', '*Availableat specialty foods stores and natural foods stores.', '**Availableat Asian markets and in the Asian foods section of many supermarkets.']"
Pork Tenderloin,"['1       garlic clove, minced ', '1   teaspoon    salt', '1/2  teaspoon    white pepper', '1/4  teaspoon    thyme', '1   lb    pork tenderloin', '1   tablespoon    olive oil']","['Mix garlic, salt, pepper &amp; thyme in small bowl.', 'Rub mixture over tenderloin and wrap in plastic.   Refrigerate for at least 4 hours or overnight.', 'Heat olive oil over med. high heat. and brown pork on all sides, approximately 7 minute total.', 'Remove pork and place in a 9x13x2 pan.', 'Add enough water to come up to bottom edge of pork (about a half inch). I rinse my frying pan and scrape blackened bits for water.', 'Cover with foil and bake at 350 for approximately 45 to 50 minutes.', 'Boil the drippings and add a little cornstarch mixed with water to it for gravy. Season with salt &amp; pepper. Good with mashed potatoes.']"
Pesto Hots,"['1/2  cup    fresh basil, finely chopped ', '1/2  cup   shredded parmesan cheese (2 oz.)', '6   tablespoons    mayonnaise', '1       garlic clove, minced ', '1       French baguette, cut into 1/4 inch slices ']","['Combine the basil, cheese, mayonnaise and garlic in a bowl and mix well.', 'Arrange the baguette slices in a single layer on a cookie sheet.', 'Broil the slices until light brown.', 'Turn the slices and spread with the mayonnaise mixture.', 'Return to under the broiler and broil until light brown and heated through.', 'Serve immediately.']"
MaMa's Supper Club Tilapia Parmesan,"['2   lbs    tilapia fillets (orange roughy, cod or red snapper can be substituted)', '2   tablespoons    lemon juice', '1/2  cup   grated parmesan cheese', '4   tablespoons    butter, room temperature ', '3   tablespoons    mayonnaise', '3   tablespoons   finely chopped green onions', '1/4  teaspoon    seasoning salt (I like Old Bay seasoning here)', '1/4  teaspoon    dried basil', '  black pepper', '1   dash    hot pepper sauce']","['Preheat oven to 350 degrees.', 'In buttered 13-by-9-inch baking dish or jellyroll pan, lay fillets in single layer.', 'Do not stack fillets.', 'Brush top with juice.', 'In bowl combine cheese, butter, mayonnaise, onions and seasonings.', 'Mix well with fork.', 'Bake fish in preheated oven 10 to 20 minutes or until fish just starts to flake.', 'Spread with cheese mixture and bake until golden brown, about 5 minutes.', 'Baking time will depend on the thickness of the fish you use.', 'Watch fish closely so that it does not overcook.', 'Makes 4 servings.', 'Note: This fish can also be made in a broiler.', 'Broil 3 to 4 minutes or until almost done.', 'Add cheese and broil another 2 to 3 minutes or until browned.', ""Thank you Mama's Supper Club in Wisconsin.""]"
Southern Lemon Chess Pie,"['2   whole    eggs, separated ', '1   cup    granulated sugar', '1 1/2  tablespoons   all-purpose yellow cornmeal (can use white)', '1/4  cup    fresh lemon juice', '1/4  cup    butter (not margarine)', '1       9 inch pie shell (not deep dish)']","['Preheat oven to 400 degrees.', 'In small bowl, beat egg whites until stiff.', 'Set aside.', 'In large bowl, cream together sugar, cornmeal, lemon juice, butter and egg yolks for 5 minutes or more until creamy.', 'Gently fold beaten egg whites into this lemon mixture.', 'Gently pour filling into pie crust.', 'Bake about 15 minutes or until top of pie begins to brown.', 'Reduce oven temperature to 300 degrees and bake an additional 25 to 30 minutes or more until pie is just set in the middle.', 'It should be a little jiggly, not runny, in the middle.', 'Remove from oven and cool.', 'It can be refrigerated, but is best served at room temperature.', ""Covered, this pie will keep unrefrigerated for up to 4 days; however, it won't last that long!""]"
